Miopithecus talapoin
Nasalis larvatus
Papio anubis
Papio cynocephalus
Papio hamadryas
Papio papio
Papio ursinus
Piliocolobus badius
Piliocolobus foai
Piliocolobus gordonorum
Piliocolobus kirkii
Piliocolobus pennantii
Piliocolobus preussi
Piliocolobus rufomitratus
Piliocolobus tephrosceles
Piliocolobus tholloni
Presbytis chrysomelas
Presbytis comata
Presbytis femoralis
Presbytis frontata
Presbytis hosei
Presbytis melalophos
Presbytis natunae
Presbytis potenziani
Presbytis rubicunda
Presbytis siamensis
Presbytis thomasi
Procolobus verus
Pygathrix cinerea
Pygathrix nemaeus
Pygathrix nigripes
Rhinopithecus avunculus
Rhinopithecus bieti
Rhinopithecus brelichi
Rhinopithecus roxellana
Rhinopithecus strykeri
Rungwecebus kipunji
Semnopithecus ajax
Semnopithecus dussumieri
Semnopithecus entellus
Semnopithecus hector
Semnopithecus hypoleucos
Semnopithecus priam
Semnopithecus schistaceus
Simias concolor
Theropithecus gelada
Trachypithecus auratus
Trachypithecus barbei
Trachypithecus delacouri
Trachypithecus ebenus
Trachypithecus francoisi
Trachypithecus geei
Trachypithecus germaini
Trachypithecus hatinhensis
Trachypithecus johnii
Trachypithecus laotum
Trachypithecus obscurus
Trachypithecus phayrei
Trachypithecus pileatus
Trachypithecus poliocephalus
Trachypithecus shortridgei
Trachypithecus vetulus
Trachypithecus villosus
Allocebus trichotis
Cheirogaleus adipicaudatus
Cheirogaleus crossleyi
Cheirogaleus major
Cheirogaleus medius
Cheirogaleus minusculus
Cheirogaleus ravus
Cheirogaleus sibreei
Microcebus berthae
Microcebus griseorufus
Microcebus murinus
Microcebus myoxinus
Microcebus ravelobensis
Microcebus rufus
Microcebus sambiranensis
Microcebus tavaratra
Mirza coquereli
Phaner electromontis
Phaner furcifer
Phaner pallescens
Phaner parienti
Daubentonia madagascariensis
Euoticus elegantulus
Euoticus pallidus
Galago alleni
Galago cameronensis
Galago demidoff
Galago gabonensis
Galago gallarum
Galago granti
Galago matschiei
Galago moholi
Galago nyasae
Galago orinus
Galago rondoensis
Galago senegalensis
Galago thomasi
Galago zanzibaricus
Otolemur crassicaudatus
Otolemur garnettii
Otolemur monteiri
Gorilla beringei
Gorilla gorilla
Pan paniscus
Pan troglodytes
Pongo abelii
Pongo pygmaeus
Bunopithecus hoolock
Hylobates agilis
Hylobates albibarbis
Hylobates klossii
Hylobates lar
Hylobates moloch
Hylobates muelleri
Hylobates pileatus
Nomascus annamensis
Nomascus concolor
Nomascus gabriellae
Nomascus hainanus
Nomascus leucogenys
Nomascus siki
Symphalangus syndactylus
Avahi laniger
Avahi occidentalis
Avahi unicolor
Indri indri
Propithecus coquereli
Propithecus deckenii
Propithecus diadema
Propithecus edwardsi
Propithecus perrieri
Propithecus tattersalli
Propithecus verreauxi
Eulemur albifrons
Eulemur albocollaris
Eulemur cinereiceps
Eulemur collaris
Eulemur coronatus
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulemur rubriventer
Eulemur rufus
Eulemur sanfordi
Hapalemur alaotrensis
Hapalemur aureus
Hapalemur griseus
Hapalemur occidentalis
Lemur catta
Prolemur simus
Varecia rubra
Varecia variegata
Lepilemur ankaranensis
